x,y,pred,truth
108.1578947,298.6315789,Fe,Fe
120.55,313.45,Fe,Fe
120.6842105,238.8421053,Fe,Fe
131.6,334.55,Fe,Fe
134.2105263,271.2105263,Fe,Fe
145.1578947,289.8421053,Fe,Fe
152.2631579,183.8421053,Fe,Fe
153.8421053,389.2631579,Fe,Fe
154.7368421,219.1578947,Fe,Fe
155.7894737,335.1578947,Fe,Fe
158.1764706,209.1764706,Fe,Fe
162.5,375.4,Fe,Fe
167.1,234,Fe,Fe
167.8421053,311.2631579,Fe,Fe
176.5,148.55,Fe,Fe
184,242,Fe,Fe
193.3157895,391.8421053,Fe,Fe
194.2631579,209.7368421,Fe,Fe
196.3684211,280.7894737,Fe,Fe
200.9444444,164,Fe,Fe
202,193,Fe,Fe
205.35,317.5,Fe,Fe
211.6470588,186.7647059,Fe,D
220,205,Fe,D
224,122.5,Fe,Fe
224.1578947,384.7368421,Fe,Fe
229.45,368.55,Fe,Fe
234.5,388.45,Fe,Fe
237.7,229.5,Fe,Fe
238,442,Fe,Fe
239,435,Fe,Fe
240,95,D,D
253,68.5,Fe,Fe
257,139,Fe,Fe
264.1764706,127.8235294,Fe,Fe
264.6,279.6,Fe,Fe
269.5,398.3,Fe,Fe
270.3,165.45,Fe,Fe
281.3,446.5,Fe,Fe
281.8421053,189.3684211,Fe,Fe
282,228,Fe,Fe
286.7894737,134.7894737,Fe,Fe
289.3333333,67.33333333,D,D
301.2352941,195.2352941,Fe,D
301.2631579,208.7894737,Fe,Fe
309.3,141.5,Fe,Fe
312.3888889,367,Fe,Fe
314.2941176,375.7058824,Fe,Fe
315,253.05,Fe,Fe
328,235,Fe,Fe
337.4,334.4,Fe,Fe
343.7,422.5,Fe,Fe
346.1578947,233.8421053,Fe,Fe
359.1578947,326.2631579,Fe,Fe
365,411.5,Fe,Fe
369,258,Fe,Fe
371.4,302.55,Fe,Fe
385.6842105,361.7894737,Fe,Fe
385.9,338,Fe,Fe
388.6842105,262.7368421,Fe,Fe
392.5,229,Fe,Fe
405.1578947,169.6315789,Fe,Fe
409.55,263.6,Fe,Fe
422,303,Fe,Fe
429.55,172.7,Fe,Fe
435,332,Fe,Fe
436,326,Fe,Fe
440.2631579,292.7368421,Fe,Fe
453.6842105,161.2105263,Fe,Fe
470.6,279.5,Fe,Fe
475.6666667,266,Fe,Fe
479.2105263,181.8421053,Fe,Fe
483.2105263,198.7894737,Fe,Fe
