x,y,pred,truth
38.5,267.9545455,Fe,D
40.45,243.55,Fe,Fe
42.80952381,232.3333333,D,Fe
46,213.3181818,Fe,Fe
63.5,230.2916667,Fe,Fe
74.23809524,190.5714286,Fe,Fe
78.19047619,203.4285714,D,Fe
78.90909091,269.2727273,Fe,Fe
93,178.4545455,Fe,Fe
106.1904762,209.8095238,Fe,Fe
110.0454545,256.5,Fe,Fe
110.5,132.0454545,Fe,Fe
116.5,218.7142857,D,D
116.5,197,Fe,Fe
120.7142857,97.95238095,Fe,Fe
132,185.4545455,Fe,Fe
137.8888889,155.2777778,Fe,Fe
138.6470588,146.5882353,Fe,Fe
139.0454545,255.2272727,Fe,Fe
139.125,106.9166667,Fe,Fe
150.5,217.9090909,Fe,Fe
151.7894737,159.8421053,D,Fe
152.2380952,148.6190476,D,Fe
166.5,174.25,D,Fe
175,164.5909091,Fe,Fe
180.1428571,195.3333333,Fe,Fe
188,318,Fe,D
199,220,Fe,Fe
200,235,Fe,Fe
205.3043478,366.7391304,Fe,Fe
209.9545455,344.5,Fe,Fe
221.173913,265.0434783,Fe,Fe
223.4090909,283.2272727,Fe,Fe
227.65,17.45,Fe,Fe
242,323,Fe,Fe
246.6956522,240.4782609,Fe,Fe
247.2608696,169.0434783,Fe,Fe
247.7391304,41.95652174,Fe,Fe
252.5,223.25,Fe,Fe
257.9545455,264.3636364,Fe,Fe
270.8095238,353.7142857,Fe,Fe
277.9545455,164.5,Fe,Fe
280.5,380.7272727,Fe,Fe
286.7368421,204.7368421,D,D
288,75,Fe,Fe
291.7826087,293.6086957,Fe,Fe
293.5909091,391,Fe,Fe
295.5,250.3,D,D
297.7391304,159.826087,Fe,Fe
299,27,Fe,Fe
301.3888889,44,D,D
301.7391304,100.7826087,Fe,Fe
311,413.75,Fe,Fe
323,400.3333333,Fe,Fe
323.3157895,391.5789474,Fe,Fe
333,217,Fe,Fe
334.3043478,61.26086957,Fe,Fe
336.3043478,230.0869565,Fe,Fe
338,212,Fe,Fe
345.5454545,318,Fe,Fe
349.4545455,271.8636364,Fe,Fe
353.826087,225.8695652,Fe,Fe
355.0952381,167.5714286,Fe,Fe
358,354.5,Fe,Fe
361.7619048,160.3333333,Fe,Fe
363.95,236.8,Fe,Fe
363.9545455,337.5,Fe,Fe
367.8095238,301.8571429,Fe,Fe
371,229.5,Fe,Fe
372.6666667,286.8,D,Fe
375.5909091,165.1818182,Fe,Fe
384.9444444,231.5,Fe,Fe
394.6,208.5,Fe,Fe
396.4545455,268.9545455,Fe,Fe
403.7619048,66.04761905,Fe,Fe
410.8095238,117.0952381,Fe,D
420.6956522,80.56521739,Fe,Fe
430.3043478,258.3043478,Fe,Fe
439.9545455,115.6818182,Fe,D
442.826087,85.82608696,Fe,Fe
448.5,235.5,Fe,Fe
464.8095238,228.8571429,Fe,Fe
465,194.5454545,Fe,Fe
475,215,Fe,D
477.4545455,85.86363636,Fe,Fe
483.7826087,155.6086957,Fe,Fe
492.6956522,95.56521739,Fe,D
