x,y,pred,truth
48.76190476,344.8571429,Ti,Ti
65.71428571,352.9047619,Ti,Ti
76.5,335.5,Ti,Ti
93.5,343.5,Ti,Ti
108.1578947,298.6315789,Fe,Fe
113.5909091,279.0454545,Ti,Ti
120.55,313.45,Fe,Fe
120.6842105,238.8421053,Fe,Fe
123.45,287.45,Ti,Ti
131.6,334.55,Fe,Fe
133,295.5909091,Ti,NA
133.4285714,361.3333333,Ti,Ti
134.2105263,271.2105263,Fe,Fe
139.8095238,244.7142857,Ti,Ti
141.6,277.45,Ti,Ti
141.8095238,351.6666667,Ti,Ti
145.1578947,289.8421053,Fe,Fe
152.2631579,183.8421053,Fe,Fe
153.2380952,274.3333333,Ti,Ti
153.8421053,389.2631579,Fe,Fe
154.7368421,219.1578947,Fe,Fe
155.7894737,335.1578947,Fe,Fe
158.1764706,209.1764706,Fe,Fe
162.5,375.4,Fe,Fe
163.6666667,249.6666667,Ti,Ti
167.1,234,Fe,Fe
167.6666667,203.9047619,Ti,Ti
167.8421053,311.2631579,Fe,Fe
170.2380952,388.3333333,Ti,Ti
176.5,148.55,Fe,Fe
179.4090909,196.9545455,Ti,Ti
184,242,Fe,Fe
186.2380952,331.0952381,Ti,Ti
193.3157895,391.8421053,Fe,Fe
194.2631579,209.7368421,Fe,Fe
196.3684211,280.7894737,Fe,Fe
200.9444444,164,Fe,Fe
202,193,Fe,Fe
203.8571429,106.6666667,Ti,Ti
205.2380952,155.2857143,Ti,Ti
205.35,317.5,Fe,Fe
211.5,368.5,Ti,Ti
211.6470588,186.7647059,Fe,NA
214.5,300.5,Ti,Ti
220,205,Fe,NA
224,122.5,Fe,Fe
224.1578947,384.7368421,Fe,Fe
227.0454545,346.5909091,Ti,NA
229.45,368.55,Fe,Fe
234.5,388.45,Fe,Fe
235.5,126,Ti,Ti
237.7,229.5,Fe,Fe
238,442,Fe,Fe
239,435,Fe,Fe
240,95,Fe,NA
249.7619048,372.952381,Ti,Ti
251.6666667,361.6666667,Ti,NA
253,68.5,Fe,Fe
256.0909091,299.5,Ti,NA
256.3333333,88.33333333,Ti,Ti
257,139,Fe,Fe
261.7142857,255.2857143,Ti,Ti
264,137,Ti,Ti
264.1764706,127.8235294,Fe,Fe
264.6,279.6,Fe,Fe
266.7142857,436.2857143,Ti,Ti
268.45,314.5,Ti,Ti
269.5,398.3,Fe,Fe
270.3,165.45,Fe,Fe
272.45,324.5,Ti,NA
277.8095238,426.2857143,Ti,NA
279.95,300.05,Ti,Ti
281.3,446.5,Fe,Fe
281.8421053,189.3684211,Fe,Fe
282,228,Fe,Fe
286.7619048,241.7142857,Ti,Ti
286.7894737,134.7894737,Fe,Fe
288.2380952,372.6666667,Ti,Ti
288.6666667,348.7142857,Ti,Ti
289.3333333,67.33333333,Fe,NA
299.3636364,453.9545455,Ti,NA
301.2352941,195.2352941,Fe,NA
301.2631579,208.7894737,Fe,Fe
309.3,141.5,Fe,Fe
309.7619048,337.8095238,Ti,Ti
311.4,81.55,Ti,Ti
312.3888889,367,Fe,Fe
314.0909091,162.5454545,Ti,Ti
314.2941176,375.7058824,Fe,Fe
315,253.05,Fe,Fe
316.4545455,402,Ti,Ti
320.8095238,383.2857143,Ti,Ti
328,235,Fe,Fe
330.3333333,105.3809524,Ti,Ti
335,238,Ti,Ti
337.4,334.4,Fe,Fe
343.7,422.5,Fe,Fe
346.1578947,233.8421053,Fe,Fe
347.7619048,185.8095238,Ti,Ti
348.4545455,119.0454545,Ti,NA
355.5909091,306.0454545,Ti,Ti
359.1578947,326.2631579,Fe,Fe
365,411.5,Fe,Fe
369,258,Fe,Fe
371.4,302.55,Fe,Fe
376,257,Ti,Ti
385.6842105,361.7894737,Fe,Fe
385.9,338,Fe,Fe
388.6842105,262.7368421,Fe,Fe
392.5,229,Fe,Fe
393.8181818,197.4545455,Ti,Ti
400.7619048,370.3333333,Ti,NA
403,414.5,Ti,NA
405.1578947,169.6315789,Fe,Fe
408.5909091,185.0909091,Ti,Ti
409.55,263.6,Fe,Fe
414.8571429,217.7619048,Ti,Ti
420.3809524,346.3333333,Ti,Ti
422,303,Fe,Fe
424,296,Ti,Ti
424.5,276.5,Ti,Ti
427.3478261,158.3478261,Ti,NA
429.55,172.7,Fe,Fe
434,284.85,Ti,Ti
435,332,Fe,Fe
436,326,Fe,Fe
440.2631579,292.7368421,Fe,Fe
442.7619048,203.7142857,Ti,Ti
444.95,318.05,Ti,Ti
453.6842105,161.2105263,Fe,Fe
463,209,Ti,Ti
467.35,269.5,Ti,Ti
470,208,Ti,Fe
470.6,279.5,Fe,Fe
475.6666667,266,Fe,Fe
479,211.85,Ti,Ti
479.2105263,181.8421053,Fe,Fe
483.2105263,198.7894737,Fe,Fe
