x,y,pred,truth
96.82758621,412.6206897,Fe,NA
109.8076923,207.5,Ti,Ti
111.5,357.5714286,Ti,Ti
125.8,308.24,Fe,Fe
125.8,267.24,Fe,Fe
130.4583333,369.5,Fe,Fe
132.4615385,282,Ti,Ti
136.8,146.24,Fe,Fe
143.16,408.6,Fe,Fe
155.1578947,284.8421053,Fe,Ti
156.2,329.64,Fe,Fe
165.92,355.32,Fe,Fe
171.4583333,299.4583333,Fe,Fe
173.1538462,171.4615385,Ti,Ti
174.6666667,408.2592593,Ti,Ti
180.5,280.5714286,Ti,Ti
181.5,320.0384615,Fe,Fe
186.1481481,159.1851852,Ti,NA
190.7407407,245.2962963,Ti,Ti
206.6296296,136.7777778,Ti,Ti
208.5,446.5,Fe,Fe
214,190.2222222,Ti,Ti
224.12,410.72,Fe,Fe
224.72,298.28,Fe,Fe
225.7037037,348.2592593,Ti,Ti
226.6666667,369.7333333,Fe,Fe
228.7037037,246.6296296,Ti,Ti
239.9230769,288.5769231,Fe,Fe
242.24,311.64,Fe,Fe
252.16,352.72,Fe,Fe
256.6296296,254.7777778,Ti,Ti
258.55,318.45,Fe,NA
260.3333333,444.2592593,Ti,Ti
274.76,376.32,Fe,Fe
278.12,271.76,Fe,Fe
281,339.1538462,Ti,Ti
289,352.9230769,Ti,Ti
290.64,249.36,Fe,Ti
290.9583333,193.5416667,Fe,Fe
292.04,456.72,Fe,Fe
296.375,87.45833333,Fe,Fe
298.76,130.28,Fe,Fe
300.0454545,316.3636364,Fe,Fe
305.12,366.8,Fe,Fe
307,306.9583333,Ti,Fe
307.2592593,147.3703704,Ti,NA
310.16,382.72,Fe,Fe
312.3333333,175.2222222,Ti,Ti
318.7037037,422.7407407,Ti,Ti
325.2592593,132.3333333,Ti,Ti
328.7037037,405.1851852,Ti,Ti
332.7826087,390.6521739,Fe,Fe
335.5882353,342.2941176,Fe,Ti
341.3333333,220.5,Fe,Fe
342.5,203.9615385,Ti,Ti
345.16,424.72,Fe,Fe
349.7777778,244.7777778,Ti,Ti
354.6666667,285.7037037,Ti,Ti
361.5,175.125,Fe,NA
363.56,325.28,Fe,Fe
368.3846154,85.61538462,Ti,Ti
368.8,279.36,Fe,Fe
369.173913,188.2608696,Fe,Fe
369.1851852,382.8148148,Ti,NA
395.28,446.76,Fe,Fe
397,156,Fe,Fe
398.56,367.28,Fe,Fe
400.6296296,220.7777778,Ti,Ti
405.72,421.32,Fe,Fe
409.6666667,383.8888889,Ti,Ti
410.9642857,185.9642857,Ti,Ti
412.16,85.84,Ti,Fe
414.16,466.76,Ti,Ti
419.68,159.24,Fe,Fe
424.8888889,343.7777778,Ti,Ti
428.6666667,89.77777778,Ti,Ti
429.0833333,266,Fe,Fe
430.3793103,303.2068966,Ti,Ti
431.7777778,454.6296296,Ti,Ti
433.7368421,105.2105263,Fe,NA
438.2962963,229.3703704,Ti,Ti
438.76,373.4,Fe,Fe
443.3333333,435.0833333,Fe,NA
444.173913,286.826087,Fe,NA
446.0357143,174.0357143,Ti,Ti
448.6,141,Fe,NA
476.1785714,164.6071429,Ti,NA
