x,y,pred,truth
71,331,D,D
77,334,D,D
97.30434783,262.6956522,Ti,D
103.0454545,306.4090909,Ti,Ti
120,317,D,D
139.8181818,281.9545455,Ti,Ti
142.4347826,170.7391304,Ti,Ti
145.3043478,341.7826087,Ti,Ti
155,164,D,Ti
157,173,D,Ti
159.6086957,223.2173913,Ti,Ti
165,175,D,Ti
166,296,D,D
166.6956522,143.0869565,Ti,Ti
174.7391304,195.173913,Ti,Ti
176.2173913,379.8695652,Ti,Ti
183.9545455,130.5,Ti,Ti
191.6956522,107.0869565,Ti,Ti
197.5454545,131.6363636,Ti,Ti
199.4545455,201,Ti,Ti
201,355,D,Ti
204.5,253.5,Ti,Ti
204.6956522,63.17391304,Ti,Ti
207,350,D,D
209.3333333,280.1904762,Ti,Ti
216.0909091,296,Ti,Ti
220.2857143,270.2380952,Ti,Ti
221.875,363.5,D,D
223.1904762,67.23809524,Ti,Ti
226.95,76.95,Ti,Ti
228.5454545,176.6363636,Ti,Ti
229.2173913,209.9130435,Ti,Ti
231.6190476,335.8571429,Ti,Ti
234.0454545,88.45454545,Ti,Ti
234.9545455,246.4545455,Ti,Ti
247.2857143,379.3333333,Ti,Ti
253.8571429,86.71428571,Ti,Ti
255.5,370,D,D
257.7619048,442.8095238,Ti,D
261.5,173.4545455,Ti,Ti
265.6666667,112.6666667,D,D
268.1818182,307.0454545,Ti,Ti
274.8125,369,D,D
275.3157895,108.8421053,Ti,Ti
279.8571429,128.6666667,Ti,Ti
286.9583333,387.4166667,D,D
289,197,D,Ti
293.5,167.3636364,Ti,Ti
304.3809524,252.1428571,Ti,Ti
304.4545455,448.3636364,Ti,Ti
313.9130435,378.2173913,Ti,Ti
322.0952381,133.2857143,Ti,Ti
324.5,254.5,Ti,Ti
347.8695652,399.3478261,Ti,Ti
347.9090909,239,Ti,Ti
351.5652174,302.2173913,Ti,Ti
371.9583333,326.5416667,D,D
388,216,D,Ti
392,210,D,Ti
399.7391304,204.3913043,D,D
400.3333333,245.3333333,Ti,Ti
422.6190476,270.7142857,Ti,Ti
428.8636364,249,Ti,Ti
