x,y,pred,truth
118.173913,260.173913,Ti,Ti
125.6086957,311.2173913,Ti,Ti
138,282.8846154,D,D
148.1304348,394.826087,Ti,Ti
156,200,D,D
161,207,D,Ti
163,244,D,D
165.4166667,279,Ti,Ti
166,237,D,D
166.0434783,186.2608696,Ti,Ti
168.9583333,294.4583333,Ti,Ti
173,400,D,D
176.9166667,260.4583333,Ti,Ti
178,406,D,D
190.0869565,235.173913,Ti,Ti
192.88,180.08,Ti,Ti
204.0416667,303.375,Ti,Ti
207.6086957,207.2173913,Ti,D
215.3636364,351.4545455,D,Ti
225.2608696,357.6086957,D,Ti
227,415,D,D
237.5416667,452.9166667,Ti,Ti
239.4583333,291.9583333,Ti,Ti
248.6956522,405.7826087,Ti,Ti
249.5,342.3636364,D,Ti
252,304.5833333,Ti,Ti
255.6666667,332.1904762,D,Ti
258,153.2916667,Ti,Ti
259.826087,446.1304348,Ti,Ti
260.5,394.9166667,Ti,Ti
260.6956522,281.6956522,D,Ti
281.6666667,426.2857143,D,Ti
286.9583333,264.5416667,Ti,Ti
287.375,218.0416667,Ti,Ti
292.5,422.0454545,D,Ti
309.4166667,219,Ti,Ti
309.84,438.68,D,Ti
310.6956522,454.7391304,Ti,Ti
311,245,D,D
311.3043478,165.7826087,Ti,Ti
313.875,420.375,Ti,Ti
314,252,D,Ti
327.2608696,336.173913,Ti,Ti
327.45,309.95,D,Ti
327.76,74.2,D,D
331.9545455,321.0909091,D,Ti
345.9583333,484,Ti,Ti
346.826087,222.9130435,D,D
351.6666667,128.9583333,Ti,Ti
355.375,469.0416667,Ti,Ti
360.28,97.84,Ti,Ti
373.0416667,227.6666667,Ti,Ti
374,313.7083333,Ti,Ti
378.4166667,298,Ti,Ti
380,168,D,D
384,170,D,D
388.5833333,260.875,Ti,Ti
390.1212121,123.1818182,D,D
392.2,221.64,Ti,Ti
394.16,405.84,Ti,Ti
397,449,D,Ti
402,458,D,Ti
403.4583333,182,Ti,Ti
409.375,356.0416667,Ti,Ti
419,194.3333333,Ti,Ti
424.12,269.88,Ti,Ti
424.5,231.3636364,Ti,Ti
428.173913,337.6521739,D,D
433.2380952,329.2857143,D,D
447.8,305.28,D,D
451.0416667,333.4583333,Ti,D
454,244,D,D
462.0833333,386.375,Ti,Ti
476.9230769,297.8846154,D,D
489,217.5,Ti,Ti
